id,Price_Prediction
300000,97.614555
300001,81.1177
300002,106.82829
300003,80.17393
300004,84.17385
300005,72.84817
300006,83.98216
300007,76.43226
300008,85.37184
300009,73.58651
300010,97.1675
300011,71.601364
300012,88.81043
300013,86.311035
300014,83.7371
300015,96.98719
300016,96.127335
300017,78.45638
300018,78.12969
300019,80.411285
300020,89.76102
300021,74.74439
300022,86.37974
300023,80.72627
300024,82.46216
300025,86.331665
300026,84.690186
300027,82.98814
300028,81.88828
300029,85.33895
300030,81.52371
300031,74.709625
300032,81.38245
300033,79.34787
300034,86.02279
300035,87.98091
300036,60.115437
300037,76.51602
300038,70.44087
300039,83.31027
300040,71.42058
300041,83.78863
300042,105.42731
300043,70.395424
300044,81.80844
300045,76.9363
300046,88.89141
300047,86.11546
300048,73.05241
300049,74.61526
300050,86.92974
300051,78.450035
300052,65.955
300053,76.207924
300054,88.81792
300055,71.34326
300056,81.960464
300057,72.502396
300058,89.10831
300059,75.977234
300060,92.85446
300061,96.89518
300062,76.19944
300063,84.27371
300064,83.885284
300065,92.6549
300066,88.44224
300067,86.4022
300068,100.1943
300069,68.172554
300070,84.50389
300071,81.85193
300072,93.84022
300073,89.475426
300074,87.17913
300075,78.11002
300076,76.28599
300077,87.347244
300078,107.5669
300079,77.2413
300080,105.55484
300081,93.38032
300082,91.627716
300083,71.67105
300084,81.761116
300085,94.02236
300086,77.80355
300087,81.60261
300088,82.31994
300089,86.78686
300090,92.318886
300091,78.98178
300092,102.8806
300093,88.111534
300094,74.60866
300095,72.83726
300096,89.05201
300097,78.72455
300098,93.87555
300099,88.272385
300100,77.45471
300101,92.134514
300102,87.19657
300103,79.76779
300104,81.36974
300105,97.660324
300106,84.41651
300107,83.95136
300108,79.04869
300109,85.962456
300110,74.44413
300111,81.55337
300112,94.10994
300113,89.08208
300114,82.77047
300115,81.78679
300116,88.92988
300117,87.888214
300118,80.06524
300119,62.220776
300120,63.67623
300121,110.14913
300122,69.06905
300123,95.74147
300124,87.46017
300125,77.083084
300126,80.38871
300127,78.49291
300128,76.01936
300129,83.06836
300130,84.00457
300131,94.45968
300132,104.70369
300133,71.5736
300134,78.59127
300135,86.92194
300136,79.40988
300137,65.379654
300138,67.20015
300139,81.43868
300140,73.36805
300141,82.66111
300142,75.51594
300143,80.19019
300144,85.26656
300145,87.11481
300146,93.2101
300147,78.045494
300148,103.82082
300149,86.45675
300150,83.11513
300151,99.33369
300152,82.29113
300153,76.78396
300154,53.337254
300155,77.36039
300156,92.8459
300157,90.566536
300158,72.26058
300159,93.78243
300160,82.50261
300161,72.79487
300162,81.337425
300163,82.2188
300164,73.908195
300165,96.96107
300166,79.377625
300167,75.50546
300168,81.77279
300169,67.49305
300170,88.21848
300171,77.62627
300172,83.03379
300173,93.82178
300174,76.74656
300175,75.61772
300176,93.47362
300177,71.6232
300178,82.27835
300179,85.856995
300180,87.309975
300181,81.16063
300182,81.08853
300183,72.79883
300184,87.25531
300185,100.74505
300186,68.932106
300187,94.40984
300188,88.34556
300189,87.94402
300190,84.31415
300191,80.08169
300192,76.92772
300193,93.20371
300194,91.20211
300195,90.13671
300196,70.25865
300197,80.21104
300198,81.73376
300199,85.164635
